CGPA,GPA,Average Assignment Marks,Average Project Marks,Attendance Percentage,Class Participation Credits,Extracurricular Activities,Achievements Credits,No. of Students in Class,Rank in Class,Certifications Count,Performance
6.85,6.36,39,68,84,75,0,40,76,13,13,70.24
7.54,5.42,16,35,50,96,0,22,43,25,17,65.58
8.95,5.76,63,59,60,6,1,41,77,28,8,57.15
8.61,7.85,13,38,63,27,0,71,63,12,17,73.83
9.17,8.81,23,93,56,73,0,43,63,35,7,75.6
5.49,8.97,11,72,81,24,0,85,30,21,19,75.02
6.55,5.2,20,35,88,54,0,85,77,15,14,74.52
6.88,6.28,51,86,75,31,1,24,93,70,19,59.43
5.26,6.63,92,71,98,69,0,82,42,18,20,85.3
8.43,5.95,53,41,94,20,1,75,40,23,13,71.09
5.31,9.36,60,69,61,60,0,58,45,8,6,71.64
5.69,9.28,40,86,82,100,1,61,87,30,12,85.06
6.71,6.33,63,60,96,29,1,28,97,37,17,59.79
9.05,6.32,85,16,66,43,0,39,33,16,0,59.89
5.43,8.05,13,88,75,63,1,65,68,42,15,74.99
6.35,9.14,22,14,81,77,1,60,34,19,10,74.44
6.58,5.89,94,52,64,43,1,10,80,36,3,49.63
5.79,6.16,26,76,99,80,0,79,64,35,9,78.02
7.72,6.98,74,52,88,32,0,83,47,8,1,72.73
5.21,6.95,51,36,95,26,1,55,32,16,5,57.23
6.77,7.72,58,100,61,5,1,50,95,34,2,57.72
6.31,6.17,45,56,91,77,0,80,86,16,9,79.34
8.52,6.15,67,87,83,22,1,93,92,53,14,81.07
8.81,7.55,62,63,78,34,1,79,57,42,5,75.83
5.58,5.37,58,66,61,65,1,1,60,19,15,53.19
8.1,7.33,33,66,92,32,1,57,62,2,7,68.45
8.45,6.82,28,88,90,30,1,59,44,7,11,71.01
5.35,7.47,28,50,86,65,1,3,66,45,10,51.87
6.28,5.43,64,42,72,31,1,24,77,14,0,47.16
5.73,8.56,43,34,91,74,1,89,58,19,5,81.2
9.08,6.3,74,94,97,16,1,62,58,15,4,69.05
5.22,7.85,29,80,76,51,0,8,37,5,5,50.72
6.74,7.33,67,45,100,81,1,95,37,33,2,84.03
6.86,9.39,75,71,67,28,0,81,78,46,20,82.1
8.7,9.07,35,46,98,87,1,56,100,9,19,88.66
8.63,5.76,24,80,78,99,1,62,87,80,3,78.23
5.65,5.33,70,33,56,9,0,11,96,45,20,44.75
5.3,6.65,39,78,72,19,0,91,71,25,11,70.09
8.56,7.69,58,11,82,35,1,76,56,24,13,76.32
9.17,8.04,41,28,58,49,0,88,83,18,13,84.01
7.36,6.53,71,31,77,85,1,82,91,78,1,79.1
6.52,8.04,31,82,92,42,0,57,71,26,1,65.12
5.66,6.76,18,27,59,71,0,90,38,29,7,74.19
6.49,7.91,10,62,82,20,0,78,74,13,19,72.98
7.57,7.64,93,70,56,83,1,92,51,19,10,92.3
8.73,5.88,86,61,84,71,1,76,47,34,10,83.51
7.1,8.7,24,81,88,16,0,96,95,43,13,78.83
8.2,9.66,75,25,98,30,1,83,49,8,4,78.68
9.4,5.47,35,39,63,79,1,48,92,44,10,73.06
5.29,7.9,67,26,52,75,0,31,83,69,19,66.29
8.13,9.71,27,93,90,0,0,84,46,7,4,73.06
8.78,7.8,56,53,72,58,0,64,59,20,4,75.53
8.7,6.29,55,63,97,89,1,43,55,15,13,79.14
5.57,7.91,70,56,61,81,1,59,46,41,13,76.34
9.21,5.76,18,11,94,96,1,92,43,34,6,85.95
8.02,9.21,55,39,91,10,0,100,76,9,15,82.81
5.61,8.18,31,80,75,28,0,16,76,74,16,53.04
7.76,5.73,65,10,82,11,0,33,32,10,3,48.53
5.25,6.72,40,32,100,51,1,43,43,38,2,55.46
9.31,7.1,58,34,80,6,1,12,83,15,2,47.9
8.26,5.01,99,45,76,21,0,47,68,36,1,56.98
7.9,5.28,10,46,91,95,1,42,70,20,20,76.24
7.28,6.8,29,32,70,97,1,48,73,56,4,70.62
7.56,9.75,40,52,73,31,1,90,58,44,2,76.17
6.73,6.18,13,58,97,88,0,19,36,11,17,65.96
8.24,9.56,22,100,79,33,1,48,98,32,1,67.36
8.31,8.27,74,24,65,2,0,61,47,14,0,60.04
7.32,5.99,41,38,50,33,0,40,89,18,20,62.31
5.42,8.32,70,97,64,87,0,65,64,59,12,81.23
5.21,8.29,77,82,95,61,0,85,35,28,12,82.26
8.72,7.82,26,14,96,48,1,39,44,34,2,61.07
5.11,8.85,46,79,60,17,0,83,91,66,2,65.48
7.83,9.4,74,54,62,83,1,28,60,48,8,72.59
5.44,6.95,47,97,78,21,1,54,32,20,14,63.03
9.22,7.82,97,99,66,52,1,41,33,23,20,80.24
5.32,5.41,15,14,64,67,1,73,30,4,10,67.8
6.1,9.51,56,76,89,5,0,10,65,55,3,45.48
7.56,9.28,46,48,91,66,1,74,37,20,11,83.34
6.05,8.46,32,99,82,69,1,21,73,43,9,64.0
7.95,8.09,20,65,75,39,1,22,77,62,19,62.75
5.21,5.51,72,32,60,57,0,14,40,19,1,46.24
6.34,9.22,83,61,72,83,0,17,76,8,1,64.9
6.57,5.05,71,61,98,83,0,18,73,12,2,59.05
5.84,7.51,98,32,81,7,0,4,48,2,8,44.02
7.38,8.15,72,69,52,75,0,32,92,15,8,70.49
9.05,5.22,85,27,83,81,1,98,34,13,11,91.1
8.14,9.75,37,90,71,84,0,36,99,89,14,78.87
