CGPA,GPA,Attendance Percentage,Assignment Due Days,Project Due Days,Fees Due,Attendance Alert,GPA Alert,CGPA Alert,Assignment Alert,Project Alert,Fee Alert
7.92,9.18,82,4,4,1,0,0,0,0,1,1
5.68,6.67,62,8,2,1,1,0,1,0,1,1
6.17,9.03,68,4,11,1,1,0,0,0,0,1
6.82,9.57,77,5,2,1,0,0,0,0,1,1
8.76,7.69,64,2,13,1,1,0,0,0,0,1
5.15,8.28,85,10,5,0,0,0,1,0,1,0
7.88,8.6,85,9,6,1,0,0,0,0,1,1
5.49,9.11,72,1,3,1,0,0,1,1,1,1
8.71,6.7,56,4,0,0,1,0,0,0,1,0
8.87,5.33,71,0,5,0,0,1,0,1,1,0
8.49,9.19,99,6,10,1,0,0,0,0,0,1
5.45,6.66,67,9,9,0,1,0,1,0,0,0
6.79,5.32,85,6,5,1,0,1,0,0,1,1
5.1,7.76,84,10,1,0,0,0,1,0,1,0
6.68,5.46,72,5,19,1,0,1,0,0,0,1
6.41,6.82,83,10,12,0,0,0,0,0,0,0
5.01,5.72,81,2,9,1,0,1,1,0,0,1
8.75,7.5,62,0,16,1,1,0,0,1,0,1
5.73,7.83,84,3,13,1,0,0,1,0,0,1
5.82,6.91,71,2,16,0,0,0,1,0,0,0
7.14,5.44,83,5,18,0,0,1,0,0,0,0
7.99,8.89,51,5,19,1,1,0,0,0,0,1
5.55,9.35,54,2,20,1,1,0,1,0,0,1
6.12,8.52,54,5,4,0,1,0,0,0,1,0
8.67,5.73,54,0,15,0,1,1,0,1,0,0
8.18,6.26,95,9,9,0,0,0,0,0,0,0
8.47,5.69,91,6,15,0,0,1,0,0,0,0
5.23,8.23,50,8,12,0,1,0,1,0,0,0
5.58,6.37,70,10,10,1,0,0,1,0,0,1
7.85,5.88,60,1,13,1,1,1,0,1,0,1
8.76,5.27,58,3,17,1,1,1,0,0,0,1
5.68,9.75,60,9,1,0,1,0,1,0,1,0
7.66,7.94,53,6,10,1,1,0,0,0,0,1
5.21,6.22,90,7,20,0,0,0,1,0,0,0
6.36,8.2,62,7,9,0,1,0,0,0,0,0
7.72,9.76,100,8,11,1,0,0,0,0,0,1
6.65,7.32,52,9,17,1,1,0,0,0,0,1
9.04,9.32,63,9,12,1,1,0,0,0,0,1
5.32,6.09,69,8,13,0,1,0,1,0,0,0
5.85,7.24,98,6,2,0,0,0,1,0,1,0
9.5,7.84,53,2,10,0,1,0,0,0,0,0
5.41,8.07,70,2,1,0,0,0,1,0,1,0
7.81,7.48,88,7,2,0,0,0,0,0,1,0
7.82,7.8,72,1,11,0,0,0,0,1,0,0
6.81,8.46,61,4,17,0,1,0,0,0,0,0
8.88,7.77,64,0,12,1,1,0,0,1,0,1
5.72,6.5,86,4,3,1,0,0,1,0,1,1
5.99,8.23,96,5,6,1,0,0,1,0,1,1
9.48,5.75,92,3,6,1,0,1,0,0,1,1
8.36,7.28,67,4,7,0,1,0,0,0,0,0
7.32,6.48,84,4,1,0,0,0,0,0,1,0
8.0,5.41,76,6,6,1,0,1,0,0,1,1
8.7,9.58,63,10,9,1,1,0,0,0,0,1
9.42,6.73,79,9,10,0,0,0,0,0,0,0
6.66,7.36,96,2,4,1,0,0,0,0,1,1
8.75,8.36,68,5,17,0,1,0,0,0,0,0
8.86,8.22,67,7,7,1,1,0,0,0,0,1
8.56,6.57,93,2,18,0,0,0,0,0,0,0
6.35,6.81,95,5,1,1,0,0,0,0,1,1
5.67,9.07,60,6,0,0,1,0,1,0,1,0
6.56,9.05,77,1,6,0,0,0,0,1,1,0
7.09,7.6,90,9,2,0,0,0,0,0,1,0
6.87,7.75,99,6,12,1,0,0,0,0,0,1
8.75,7.07,100,8,2,0,0,0,0,0,1,0
8.64,8.84,62,5,4,0,1,0,0,0,1,0
9.29,7.92,91,9,3,1,0,0,0,0,1,1
6.42,5.99,92,4,0,1,0,1,0,0,1,1
9.16,8.66,80,6,16,0,0,0,0,0,0,0
8.76,7.76,87,2,2,1,0,0,0,0,1,1
